"id","name","weight"
1,"Alpha",131
2,"CULTURA",37
3,"Hojas de Poesía",15
4,"La Bohemia Alegre",32
5,"La Gruta",80
6,"Lectura Amena",139
7,"Panida",84
8,"Revista Alas",64
9,"Revista Contemporánea",54
10,"Revista Literaria",112
11,"Revista Moderna",132
12,"Trofeos",93
13,"[Ilegible]",1
14,"AA. VV.",1
15,"Abella-Nouvrac, L",1
16,"Abella Mendoza, Temístocles",2
17,"Acevedo, Graciliano",1
18,"Acosta de Samper, Soledad",3
19,"Acosta, Javier",15
20,"Acremant, Albert",1
21,"Alba Barrenechea, Antonio",1
22,"Alba, E.",1
23,"Alcántara Jurado, Francisco",1
24,"Allais, Alphonse",1
25,"Altenberg, Peter",5
26,"Álvarez Bonilla, Enrique",1
27,"Álvarez R., Lisandro",1
28,"Álvarez, Bernardo",1
29,"Álvarez, Lisandro",1
30,"Ángel Montoya, Alberto",1
31,"Aparicio, Alberto",6
32,"Arango Ferrer, Eleázar",4
33,"Arango Ferrer, Javier",1
34,"Arango M, Gabriel",1
35,"Arango Mejía, Gabriel",2
36,"Arboleda, Arturo",1
37,"Arbós y Góngora",1
38,"Arce, Julio César",5
39,"Arciniegas, Ismael Enrique",2
40,"Argüello, Agenor",1
41,"Arias Argáez, Daniel",1
42,"Asbjørnsen, Peter Christen",1
43,"Azorin, Felipe",1
44,"Bahr, Hermann",1
45,"Banchs, Enrique",1
46,"Barbier, Auguste",1
47,"Barón, Felipe",2
48,"Barrès, Maurice",3
49,"Barreto, José María",1
50,"Barriga Paez, J.",1
51,"Barzini, Luigi",1
52,"Bayona Posada, Jorge",3
53,"Beaunier, André",1
54,"Becerra, Ricardo",1
55,"Bécquer, Gustavo Adolfo",1
56,"Bedout, C. de",1
57,"Bel, León",3
58,"Bellaigue, Camile",1
59,"Bello, Andrés",1
60,"Benavente, Jacinto",3
61,"Bengoechea, Alfredo de",1
62,"Bernal, Luis A.",1
63,"Betancourt Villegas, Félix",4
64,"Biart, Lucien",1
65,"Bilac, Olavo",1
66,"Bissière, Roger",1
67,"Blaine, James G.",1
68,"Blanco Asenjo, Ricardo",1
69,"Blanco Fombona, Rufino",10
70,"Blanco y Sánchez, Rufino",2
71,"Blanco, Héctor",1
72,"Blanco, Ignacio",3
73,"Blasco Ibáñez, Vicente",1
74,"Blomberg, Héctor Pedro",1
75,"Bloy, León",1
76,"Bobadilla, Emilio",1
77,"Bocquet, León",1
78,"Böhl de Faber y Ruiz de Larrea, Cecilia",1
79,"Bohorquez, Daniel",3
80,"Bolívar, Simón",1
81,"Bonilla, Manuel Antonio",2
82,"Bonnard, Abel",1
83,"Botero Guerra, Camilo",3
84,"Botero Saldarriaga, Roberto",1
85,"Botero, Emiro",2
86,"Bouret, Alonso",1
87,"Bourget, Paul",1
88,"Breen, M.",1
89,"Briand, Monsieur",1
90,"Briceño, Manuel",2
91,"Brisay, Henry de",2
92,"Brooks, Adam",1
93,"Bueno, Manuel",1
94,"Bunster, Cesar",1
95,"Burns, Robert",1
96,"Cabello de Carbonera, Mercedes",2
97,"Cadenas, José Juan",1
98,"Caicedo Rojas, José",3
99,"Calcaño, José A.",1
100,"Calcaño, Julio",1
101,"Calderón, Luis Eduardo",1
102,"Camacho Ramírez, Arturo",5
103,"Camacho Roldán, Salvador",2
104,"Campo, Carlos Del",1
105,"Campoamor, Ramón de",3
106,"Cañas, Juan José",1
107,"Cano Gutíérrez, Fidel",11
108,"Cano Torres, Antonio José",9
109,"Cano Villegas, Gabriel",1
110,"Cano, Antonio José",9
111,"Cano, Luis",11
112,"Cantillo, Liborio D.",1
113,"Capuana, Luigi",1
114,"Carbonell, Gonzalo",1
115,"Carducci, Giosuè",9
116,"Caro, José Eusebio",10
117,"Caro, Miguel Antonio",8
118,"Carranza Fernández, Eduardo",9
119,"Carrasquilla L., Juan de Dios",3
120,"Carrasquilla, Ricardo",1
121,"Carrasquilla, Tomás",15
122,"Carreño, Pedro M.",1
123,"Carrere, Emilio",1
124,"Carricarte, Arturo R. de",1
125,"Carriego, Evaristo",2
126,"Carrillo, Enrique A.",5
127,"Carvajal, Alberto",2
128,"Carvajal, Manuel Antonio",21
129,"Casal, Julián del",1
130,"Casas Castañeda, José Joaquín",4
131,"Casas Castañeda, Vicente",1
132,"Castello, Carlos",4
133,"Castello, Manuel",1
134,"Castillo, Eduardo",8
135,"Castro y Serrano, José de",1
136,"Castro, Alfonso",11
137,"Castro, Eugenio de",1
138,"Cervantes, Edmundo",1
139,"Cervera, Manuel",4
140,"Céspedes, Ángel María",4
141,"Cestero, Tulio",3
142,"Chaves, J.R.",1
143,"Chénier, André",1
144,"Claretie, Jules",1
145,"Claussen, Sophus",1
146,"Clímaco, Silva",1
147,"Cobban, J. MacLaren",1
148,"Coll, Pedro Emilio",1
149,"Colorado, Vicente",1
150,"Comandante de Civrieux",1
151,"Consuegra, Manuel S.",1
152,"Cooke, John Esten",1
153,"Coppée, François",2
154,"Coradine, Alberto",8
155,"Cordovez Moure, José María",1
156,"Corral, M. Antonio del",1
157,"Correa U., Emilio",4
158,"Correa, Ramón",1
159,"Covarrubias, Miguel",1
160,"Cuervo Márquez, Carlos",6
161,"Cuervo Márquez, Emilio",10
162,"Cuervo, Luis Augusto",1
163,"Cuervo, Rufino José",3
164,"D'Annunzio, Gabriele",5
165,"D'Avenel, Vizconde",1
166,"D'Enjoÿ, Paul",1
167,"D'Oribe, R.",7
168,"d'Ors, Eugenio",7
169,"D'Ors, Eugenio",2
170,"Dahlgren, E.N.",1
171,"Darío, Rubén",17
172,"Daudet, Alphonse",3
173,"Davray, Henry-D.",1
174,"De Creta, Ruy",1
175,"De la Cruz, Efraím",2
176,"de la Cruz, Jorge",4
177,"de la Rosa, Leopoldo",8
178,"De Narváez, Antonio",1
179,"de Parville, Henry",1
180,"de Pombo, Lino",1
181,"Delgado, Jorge E.",1
182,"Deslys, Charles",1
183,"Desroix, Jacques",1
184,"Déubel, Leon",1
185,"Díaz del Castillo, Ildefonso",1
186,"Díaz Rodríguez, Manuel",1
187,"Díaz Romero, Eugenio",2
188,"Díaz, Leopoldo",4
189,"Díaz, Pedro Pablo",1
190,"Dicenta, Joaquín",8
191,"Díez-Canedo, Enrique",1
192,"Díez Canedo, Manuel",1
193,"Diuribía, Marcel",1
194,"Donato Navarro, M.",1
195,"Dumas, Joël",2
196,"Duque Bernal, Augusto",1
197,"Duque Uribe, Rafael",4
198,"E.P",1
199,"Eastman, Maria",1
200,"Eastman, Tomás O",2
201,"Eça De Queiroz, José Maria",2
202,"Echagüe, Francisco",1
203,"Echavarría y Larrazábal, Raimundo",1
204,"Echegorri, P.",1
205,"Echeverri Peláez, Alfonso",4
206,"Echeverri, Alonso",1
207,"Echeverría, Eduardo",3
208,"Echeverría, Marcelino",2
209,"EDOS",1
210,"Eraña, Silverio",1
211,"Escobar Larrazábal, Melitón",8
212,"Escobar Padilla, Cenón",1
213,"Escobar R., Eusebio",1
214,"Escobar Roa, Rafael",2
215,"Escobar Rojo, Severo",4
216,"Escobar Sarmiento, Ricardo",2
217,"Escobar Uribe, Jorge",6
218,"Escobar, F.S.",1
219,"Escobar, Mario",3
220,"Escobar, Pedro Ignacio",7
221,"Esguerra Ortiz, Joaquín",1
222,"Esguerra, Manuel",2
223,"Espinosa Guzmán, Rafael",30
224,"Esquivel Obregón, Toribio",1
225,"Fallon Carrión, Diego",1
226,"Febres Cordero, Tulio",1
227,"Fernández Avendano, Enrique Wenceslao",4
228,"Fernández García, Alejandro",3
229,"Fernández Ríos, Ovidio",1
230,"Ferrari, Emilio",1
231,"Ferrer, Jesús",4
232,"Ferrero, Guillermo",1
233,"Floralba",3
234,"Flórez, Julio",5
235,"Fort, Paul",4
236,"France, Anatole",1
237,"Francés, José",1
238,"Francisco, Julio de",5
239,"Fx. B.",1
240,"Gaitán O, Gustavo",1
241,"Gaitán O., Gustavo",3
242,"Galindo, Aníbal",1
243,"Gálvez, Manuel (hijo)",1
244,"Gamboa, Isaías",1
245,"Gamboa, Mateo",1
246,"Gamero, Luis",1
247,"Garcés, Enrique",2
248,"Garcia Calvo, Federico",1
249,"García Ortiz, Laureano",3
250,"Garcia Pujol, Domingo",3
251,"García Rico, Francisco",1
252,"García, Juan Crisóstomo",1
253,"Garrido, Gilberto",1
254,"Garrido, Pablo",1
255,"Gartner, Hugo",1
256,"Gautier, Judith",2
257,"Gautier, Théophile",1
258,"Gaviria Arango, Enrique",1
259,"Gaviria, José A.",2
260,"Gebhart, Émile",1
261,"Gerin, Gabriel",1
262,"Gide, André",3
263,"Gil, Constantino",2
264,"Gil, Ricardo",1
265,"Gil, Rivero",20
266,"Gill, Charles",1
267,"Giraldo, Francisco",1
268,"Giraud, Victor",1
269,"Girón, Lázaro María",1
270,"Gómez Barrientos, Estanislao",5
271,"Gómez Carrillo, Enrique",9
272,"Gómez de Baquero, Eduardo",2
273,"Gómez E., Bernardo",2
274,"Gómez Escobar, Francisco",4
275,"Gomez Jaime de Abadia, Herminia",1
276,"Gómez Jaime, Alfredo",4
277,"Gomez Naranjo, Abelardo",2
278,"Gómez Restrepo, Antonio María",18
279,"Gómez, L.",4
280,"Gómez, Lucas",1
281,"Gómez, Pedro Nel",1
282,"Gómez, Plinio",1
283,"Gomperz, Theodor",4
284,"Gonzaga Urbina, Luis",1
285,"González Blanco, Andrés",4
286,"González Martínez, Enrique",1
287,"González Ochoa, Fernando",6
288,"González Serrano, Urbano",1
289,"González Suárez, Federico",1
290,"González, Pelayo",2
291,"Gorki, Maksim",1
292,"Gourmont, Remy de",5
293,"Goyau, Georges",1
294,"Graf, Arturo",1
295,"Gramont, Luciano",1
296,"Grant, Allen",2
297,"Gray, Mortimer",1
298,"Greiff, León de",8
299,"Greiff, Luis de",2
300,"Greiner Aubin, Gabriel",1
301,"Grillo, Maximiliano",23
302,"Groot, José Manuel",1
303,"Güell, Joaquín M.",7
304,"Güell, Luis C.",1
305,"Guérin, Charles",1
306,"Guérin, Maurice de",1
307,"Guerra Azuola, Ramón",2
308,"Guerrero, Rafael",1
309,"Guerrini, Olindo",1
310,"Gutiérrez B., Germán",1
311,"Gutiérrez de Alba, José María",1
312,"Gutiérrez Robledo, Julio",1
313,"Gutierrez, Adolfo León",1
314,"Gutiérrez, Francisco A.",1
315,"Guzmán, César Coronado",1
316,"Hawthorne, Nathaniel",1
317,"Hearn, Lafcadio",3
318,"Henao Henao, Federico Carlos",11
319,"Heredia Márquez, Francisco",1
320,"Heredia, Francisco de",1
321,"Heredia, José María de",11
322,"Hermant, Abel",1
323,"Hernández Catá, Alfonso",1
324,"Herrán, Pablo Emilio",1
325,"Herrera, Benjamín",1
326,"Hinestroza Daza, Ricardo",4
327,"Holguín y Caro, Hernando",2
328,"Holguín, Jorge",2
329,"Hoyos y Vinent, Antonio de",1
330,"Hoyos, Sebastián",1
331,"Hugo, Victor",1
332,"Huysmans, Joris-Karl",1
333,"Ibáñez, Pedro María",6
334,"Icaza, Francisco A. de",1
335,"Ingenieros, José",2
336,"Isaacs, Jorge",3
337,"Isaacs, Lísimaco",1
338,"Isaza Botero, Teodomiro",5
339,"Isaza Jaramillo, Teodomiro",3
340,"Isaza R., Fernando",1
341,"Isaza, Horacio",3
342,"Jaloux, Edmond",1
343,"Jammes, Francis",2
344,"Jaramillo Arango, Rafael",7
345,"Jaramillo Arango, Roberto",4
346,"Jaramillo Medina, Francisco",5
347,"Jaramillo Meza, Juan Bautista",1
348,"Jaramillo P, Escipión",1
349,"Jaramillo, Bernardo",7
350,"Jaramillo, Emilio",1
351,"Jaramillo, Escipión",4
352,"Jaramillo, Joaquín Emilio",1
353,"Jarnés, Benjamín",1
354,"Jeunesse, Ernest La",1
355,"Jiménez de la Espada, Marcos",2
356,"Jiménez, Juan Ramón",4
357,"Joubert, Joseph",1
358,"Joufrez, Lila de",1
359,"Kaminsky-Halpérine, Ilya",1
360,"Khayyam, Omar",1
361,"Kipling, Rudyard",2
362,"L'Heureux, Marcel",1
363,"Lamartine, Alphonse de",2
364,"Lambert, Suzanne",1
365,"Lapauze, Jeanne",1
366,"Larrazábal, Antonio",1
367,"Latorre Mendoza, Luis",2
368,"Latorre, Gabriel",2
369,"Laverde Amaya, Isidoro",15
370,"Laverde Liévano, Manuel",1
371,"Le Blond, M.",1
372,"Le Breton, Fanny",2
373,"Le Moyne, Arnaud Auguste Hilaire",3
374,"Lemaître, Jules",1
375,"Lemly, Henry Rowan",2
376,"León Gómez, Adolfo",2
377,"Leopardi, Giacomo",1
378,"Level, Maurice",1
379,"Lewisohn, Ludwig",1
380,"Liborio Echavarría, D.",1
381,"Lipparini, Giuseppe",1
382,"Lisle, Leconte de",2
383,"Lizardo, Pedro",1
384,"LL. RR",1
385,"Lleras A., Alfredo",2
386,"Lleras Codazzi, Ricardo",1
387,"Llorente, Teodoro",1
388,"Londoño, Pedro P.",4
389,"Londoño, Víctor Manuel",24
390,"Longas, Horacio",4
391,"López Alarcon, Enrique",1
392,"López de Mesa, Luis",12
393,"López Penha, Abraham Zacarías",1
394,"López, Alejandro",2
395,"López, Ismael",26
396,"López, Luis Carlos",12
397,"López, Samuel",1
398,"Lorenzana, Máximo",1
399,"Loti, Pierre",1
400,"Louÿs, Pierre",2
401,"Lozano y Lozano, Fabio",3
402,"Lozano y Lozano, Juan",9
403,"Lozano, Alberto",1
