"NombreR","NumContrib","Contributor","Roles","Seudonimo.x","Fuente","Sexo","PaisOrigen.y","Nacimiento","Muerte","Titulo","NumFasciculo","Fecha","Traduccion","Traductor","Lengua","LenguaOriginal","Tipo","TipoIndice","Dedicatoria","ObrasResenadas","CantidadPaginas","Paginacion","Comentarios"
"Revista Alas","1","Anónimo","Ilustrador",NA,NA,NA,NA,NA,NA,"Alas","6","Junio 10 de 1933","No",NA,NA,NA,"Imagen",NA,NA,NA,"1",NA,"La portada va en un tipo de papel diferente al resto de la revista. En este número no hay ilustraciones."
"Revista Alas","2","Anónimo","Creador",NA,NA,NA,NA,NA,NA,"CALIDAD","6","Junio 10 de 1933","No",NA,NA,NA,"Publicidad",NA,NA,NA,"1",NA,"Tiene un diseño con margenes de color. Promociona aceites lubricantes de origen extranjero."
"Revista Alas","3","Anónimo","Creador",NA,NA,NA,NA,NA,NA,"Almacén Westinghouse","6","Junio 10 de 1933","No",NA,NA,NA,"Publicidad",NA,NA,NA,"1",NA,"La imagen publicitaria utiliza colores rojos y verde."
"Revista Alas","4","Anónimo","Creador",NA,NA,NA,NA,NA,NA,"No soy fumadora pero…","6","Junio 10 de 1933","No",NA,NA,NA,"Publicidad",NA,NA,NA,"1",NA,"La imagen publicitaria utiliza colores rojos y verde."
"Revista Alas","5","Anónimo","Creador",NA,NA,NA,NA,NA,NA,"Rifa O. K. $ 900-00","6","Junio 10 de 1933","No",NA,NA,NA,"Publicidad",NA,NA,NA,"0.3","3","Se hace referencia al Circo España."
"Revista Alas","6","Anónimo","Ninguno de los anteriores",NA,NA,NA,NA,NA,NA,"El maestro Rotondo felicita a la Unión Musical","6","Junio 10 de 1933","No",NA,NA,NA,"Prosa No ficción",NA,NA,NA,"0.2","3","Comentario a eventos realizados en la ciudad."
"Revista Alas","7","Anónimo","Creador",NA,NA,NA,NA,NA,NA,"LINTERNAS COLEMAN","6","Junio 10 de 1933","No",NA,NA,NA,"Publicidad",NA,NA,NA,"0.5","3","La publicidad parece que la mandó a hacer Droguerías Aliadas."
"Revista Alas","8","Morand, Paul","Creador",NA,"https://d-nb.info/gnd/118784757 ","M","Francia","1888","1976","EUROPA Y AMERICA","6","Junio 10 de 1933","Sí",NA,"Español","Francés","Prosa No ficción",NA,NA,NA,"0.5","4","No se hace mención del traductor ni del lugar en el que se encuentra el texto. Hace énfasis en las mujeres y su lugar en la ciudad. "
"Revista Alas","9","Anónimo","Ninguno de los anteriores",NA,NA,NA,NA,NA,NA,"CORRIGIENDA","6","Junio 10 de 1933","No",NA,NA,NA,"Prosa No ficción",NA,NA,NA,"0.1","4","Salvedad de erratas para un autor que ha tenido varias entregas: Balbino Paiba."
"Revista Alas","10","Anónimo","Creador",NA,NA,NA,NA,NA,NA,"HASTA LA EDAD DE CIEN AÑOS PUEDE UD…...","6","Junio 10 de 1933","No",NA,NA,NA,"Publicidad",NA,NA,NA,"0.1","4",NA
"Revista Alas","11","Anónimo","Creador",NA,NA,NA,NA,NA,NA,"Reconstituyente FEMENINO","6","Junio 10 de 1933","No",NA,NA,NA,"Publicidad",NA,NA,NA,"0.3","4","Publicidad dirigida a público femenino. Tiene dos ilustraciones de mujeres."
"Revista Alas","12","Paiba, Balbino","Creador"," Paiba, Balbino",NA,NA,NA,NA,NA,"EL POETA CIRO MENDIA","6","Junio 10 de 1933","No",NA,NA,NA,"Prosa No ficción","Original para «Alas»",NA,NA,"1","5, 6","Usa un epígrafe sacado de Don Quijote de la mancha. El texto es rico en referencia y es posible rastrear transferencias culturales. Es curioso que el autor cite en ocasiones titulos franceses en su lengua original, pero nunca lo haga con las obras que cita de Nietzche o Wagner. Franceses: Paul Verlaine y Baudelaire."
"Revista Alas","13","Anónimo","Creador",NA,NA,NA,NA,NA,NA,"Juegos florales de la ""Une""","6","Junio 10 de 1933","No",NA,NA,NA,"Prosa No ficción",NA,NA,NA,"0.5","6","La UNION NACIONAL DE EMPLEADOS anuncia las bases de un concurso literario."
"Revista Alas","14","Anónimo","Creador",NA,NA,NA,NA,NA,NA,"Señor","6","Junio 10 de 1933","No",NA,NA,NA,"Publicidad",NA,NA,NA,"0.1","6","Anuncio de suscripción a la revista."
"Revista Alas","15","Castro, Alfonso","Creador",NA,"Ospina, Joaquín: Diccionario biográfico y bibliográfico de Colombia. - Bogotá : Cromos, 1927-1939. Díaz Díaz, Gonzalo: Hombres y documentos de la filosofía española. - Madrid : Consejo Superior de Investigaciones Científicas. Instituto de Filosofía ""Luis Vives"", 1980-1998.","M","Colombia","1878","1943","El poema de los diamantes rojos","6","Junio 10 de 1933","No",NA,NA,NA,"Prosa Ficción","Original para «Alas»",NA,NA,"1","7",NA
"Revista Alas","16","Duque Bernal, Augusto","Creador",NA,"Gallo Martínez","M","Colombia","1896","1935","Balada de la rebelde amargura","6","Junio 10 de 1933","No",NA,NA,NA,"Poesía","Original para «Alas»",NA,NA,"0.7",NA,"Tiene un diseño para el título llamativo."
"Revista Alas","17","Carrasquilla, Tomás","Creador",NA,"http://viaf.org/viaf/49272874","M","Colombia","1858","1940","¡A LA PLATA!","6","Junio 10 de 1933","No",NA,NA,NA,"Prosa Ficción","Cuento antioqueño",NA,NA,"2.4","9- 10, 30",NA
"Revista Alas","18","Anónimo","Ilustrador",NA,NA,NA,NA,NA,NA,NA,"6","Junio 10 de 1933","No",NA,NA,NA,"Imagen",NA,NA,NA,"0.2","9","Fotografía de Tomás Carrasquilla. No aparece el nombre del fotográfo."
"Revista Alas","19","Anónimo","Ilustrador",NA,NA,NA,NA,NA,NA,"Un recluta","6","Junio 10 de 1933","No",NA,NA,NA,"Imagen",NA,NA,NA,"0.2","10","Ilustración que acompaña a un cuento. No aparece el nombre del artista."
"Revista Alas","18","Anónimo","Creador",NA,NA,NA,NA,NA,NA,"HOTEL PALATINO","6","Junio 10 de 1933","No",NA,NA,NA,"Publicidad",NA,NA,NA,"0.1","10",NA
"Revista Alas","19","Revoux, Paul","Creador",NA,NA,NA,NA,NA,NA,"La perla verdadera","6","Junio 10 de 1933","Sí",NA,"Español","Francés","Prosa Ficción","Cuento extranjero",NA,NA,"1.4","11, 12","No se hace mención del traductor ni del lugar en el que se encuentra el texto. Se necesita hacer una búsqueda exhaustiva del autor porque no se encontró en una primera búsqueda. "
"Revista Alas","18","Anónimo","Creador",NA,NA,NA,NA,NA,NA,"OLOR COLOR Y SABOR","6","Junio 10 de 1933","No",NA,NA,NA,"Publicidad",NA,NA,NA,"0.4","12","Publicidad con ilustraciones."
"Revista Alas","19","Anónimo","Creador",NA,NA,NA,NA,NA,NA,"DURIUM","6","Junio 10 de 1933","No",NA,NA,NA,"Publicidad",NA,NA,NA,"0.2","12","Publicidad sencilla."
"Revista Alas","20","Anónimo","Creador",NA,NA,NA,NA,NA,NA,"¡QUIEN ES EL MAESTRO PAIBA?","6","Junio 10 de 1933","No",NA,NA,NA,"Prosa No ficción","Comentarios del momento",NA,NA,"0.4","13","Comentario sobre la identidad de un polémico colaborador."
"Revista Alas","21","Anónimo","Creador",NA,NA,NA,NA,NA,NA,"SEMANA DE LA CRUZ ROJA","6","Junio 10 de 1933","No",NA,NA,NA,"Prosa No ficción","Comentarios del momento",NA,NA,"0.2","13",NA
