"Var1","Freq"
"Colombia",1298
"España",156
"Francia",129
"México",21
"Venezuela",21
"Guatemala",19
"Nicaragua",19
"Cuba",18
"Argentina",17
"Italia",16
"Perú",13
"Estados Unidos",8
"Austria",7
"Grecia",7
"Chile",6
"Kingdom of Italy",6
"United Kingdom of Great Britain and Ireland",6
"Bélgica",5
"Portugal",5
"Ecuador",4
"Imperio austríaco",4
"Uruguay",4
"Alemania",3
"Polonia",3
"Reino Unido",3
"República Dominicana",3
"Rusia",3
"Brasil",2
"Canada",2
"United Kingdom",2
"Algeria",1
"Azerbaiyán",1
"Curaçao",1
"Denmark",1
"El Salvado",1
"Imperio ruso",1
"Iran",1
"Irlandia",1
"Noruega",1
"Sudáfrica",1
