"NombreR","NumContrib","Contributor","Roles","Seudonimo","PaisOrigen","Titulo","NumFasciculo","Fecha","Traduccion","Traductor","Lengua","LenguaOriginal","Tipo","TipoIndice","Dedicatoria","ObrasResenadas","CantidadPaginas","Paginacion","Comentarios"
"Revista Alas","1","Anónimo","Ilustrador",NA,NA,"Alas","6","Junio 10 de 1933","No",NA,NA,NA,"Imagen",NA,NA,NA,"1",NA,"La portada va en un tipo de papel diferente al resto de la revista. En este número no hay ilustraciones."
"Revista Alas","2","Anónimo","Creador",NA,NA,"CALIDAD","6","Junio 10 de 1933","No",NA,NA,NA,"Publicidad",NA,NA,NA,"1",NA,"Tiene un diseño con margenes de color. Promociona aceites lubricantes de origen extranjero."
"Revista Alas","3","Anónimo","Creador",NA,NA,"Almacén Westinghouse","6","Junio 10 de 1933","No",NA,NA,NA,"Publicidad",NA,NA,NA,"1",NA,"La imagen publicitaria utiliza colores rojos y verde."
"Revista Alas","4","Anónimo","Creador",NA,NA,"No soy fumadora pero…","6","Junio 10 de 1933","No",NA,NA,NA,"Publicidad",NA,NA,NA,"1",NA,"La imagen publicitaria utiliza colores rojos y verde."
"Revista Alas","5","Anónimo","Creador",NA,NA,"Rifa O. K. $ 900-00","6","Junio 10 de 1933","No",NA,NA,NA,"Publicidad",NA,NA,NA,"0.3","3","Se hace referencia al Circo España."
"Revista Alas","6","Anónimo","Ninguno de los anteriores",NA,NA,"El maestro Rotondo felicita a la Unión Musical","6","Junio 10 de 1933","No",NA,NA,NA,"Prosa No ficción",NA,NA,NA,"0.2","3","Comentario a eventos realizados en la ciudad."
"Revista Alas","7","Anónimo","Creador",NA,NA,"LINTERNAS COLEMAN","6","Junio 10 de 1933","No",NA,NA,NA,"Publicidad",NA,NA,NA,"0.5","3","La publicidad parece que la mandó a hacer Droguerías Aliadas."
"Revista Alas","8","Morand, Paul","Creador",NA,"Francia","EUROPA Y AMERICA","6","Junio 10 de 1933","Sí",NA,"Español","Francés","Prosa No ficción",NA,NA,NA,"0.5","4","No se hace mención del traductor ni del lugar en el que se encuentra el texto. Hace énfasis en las mujeres y su lugar en la ciudad. "
"Revista Alas","9","Anónimo","Ninguno de los anteriores",NA,"Colombia","CORRIGIENDA","6","Junio 10 de 1933","No",NA,NA,NA,"Prosa No ficción",NA,NA,NA,"0.1","4","Salvedad de erratas para un autor que ha tenido varias entregas: Balbino Paiba."
"Revista Alas","10","Anónimo","Creador",NA,"Colombia","HASTA LA EDAD DE CIEN AÑOS PUEDE UD…...","6","Junio 10 de 1933","No",NA,NA,NA,"Publicidad",NA,NA,NA,"0.1","4",NA
"Revista Alas","11","Anónimo","Creador",NA,NA,"Reconstituyente FEMENINO","6","Junio 10 de 1933","No",NA,NA,NA,"Publicidad",NA,NA,NA,"0.3","4","Publicidad dirigida a público femenino. Tiene dos ilustraciones de mujeres."
"Revista Alas","12","Paiba, Balbino","Creador"," Paiba, Balbino","Colombia","EL POETA CIRO MENDIA","6","Junio 10 de 1933","No",NA,NA,NA,"Prosa No ficción","Original para «Alas»",NA,NA,"1","5, 6","Usa un epígrafe sacado de Don Quijote de la mancha. El texto es rico en referencia y es posible rastrear transferencias culturales. Es curioso que el autor cite en ocasiones titulos franceses en su lengua original, pero nunca lo haga con las obras que cita de Nietzche o Wagner. Franceses: Paul Verlaine y Baudelaire."
"Revista Alas","13","Anónimo","Creador",NA,"Colombia","Juegos florales de la ""Une""","6","Junio 10 de 1933","No",NA,NA,NA,"Prosa No ficción",NA,NA,NA,"0.5","6","La UNION NACIONAL DE EMPLEADOS anuncia las bases de un concurso literario."
"Revista Alas","14","Anónimo","Creador",NA,"Colombia","Señor","6","Junio 10 de 1933","No",NA,NA,NA,"Publicidad",NA,NA,NA,"0.1","6","Anuncio de suscripción a la revista."
"Revista Alas","15","Castro, Alfonso","Creador",NA,"Colombia","El poema de los diamantes rojos","6","Junio 10 de 1933","No",NA,NA,NA,"Prosa Ficción","Original para «Alas»",NA,NA,"1","7",NA
"Revista Alas","16","Duque Bernal, Augusto","Creador",NA,"Colombia","Balada de la rebelde amargura","6","Junio 10 de 1933","No",NA,NA,NA,"Poesía","Original para «Alas»",NA,NA,"0.7",NA,"Tiene un diseño para el título llamativo."
"Revista Alas","17","Carrasquilla, Tomás","Creador",NA,"Colombia","¡A LA PLATA!","6","Junio 10 de 1933","No",NA,NA,NA,"Prosa Ficción","Cuento antioqueño",NA,NA,"2.4","9- 10, 30",NA
"Revista Alas","18","Anónimo","Ilustrador",NA,NA,NA,"6","Junio 10 de 1933","No",NA,NA,NA,"Imagen",NA,NA,NA,"0.2","9","Fotografía de Tomás Carrasquilla. No aparece el nombre del fotográfo."
"Revista Alas","19","Anónimo","Ilustrador",NA,NA,"Un recluta","6","Junio 10 de 1933","No",NA,NA,NA,"Imagen",NA,NA,NA,"0.2","10","Ilustración que acompaña a un cuento. No aparece el nombre del artista."
"Revista Alas","18","Anónimo","Creador",NA,NA,"HOTEL PALATINO","6","Junio 10 de 1933","No",NA,NA,NA,"Publicidad",NA,NA,NA,"0.1","10",NA
"Revista Alas","19","Revoux, Paul","Creador",NA,"Francia","La perla verdadera","6","Junio 10 de 1933","Sí",NA,"Español","Francés","Prosa Ficción","Cuento extranjero",NA,NA,"1.4","11, 12","No se hace mención del traductor ni del lugar en el que se encuentra el texto. Se necesita hacer una búsqueda exhaustiva del autor porque no se encontró en una primera búsqueda. "
"Revista Alas","18","Anónimo","Creador",NA,"Colombia","OLOR COLOR Y SABOR","6","Junio 10 de 1933","No",NA,NA,NA,"Publicidad",NA,NA,NA,"0.4","12","Publicidad con ilustraciones."
"Revista Alas","19","Anónimo","Creador",NA,"Colombia","DURIUM","6","Junio 10 de 1933","No",NA,NA,NA,"Publicidad",NA,NA,NA,"0.2","12","Publicidad sencilla."
