"from","to","n"
"[Ilegible]","Revista Literaria",1
"AA. VV.","Lectura Amena",1
"Abella-Nouvrac, L","Alpha",1
"Abella Mendoza, Temístocles","Revista Literaria",2
"Acevedo, Graciliano","La Gruta",1
"Acosta de Samper, Soledad","Revista Literaria",3
"Acosta, Javier","La Gruta",9
"Acosta, Javier","Revista Contemporánea",3
"Acosta, Javier","Trofeos",3
"Acremant, Albert","Revista Alas",1
"Alba Barrenechea, Antonio","La Gruta",1
"Alba, E.","Lectura Amena",1
"Alcántara Jurado, Francisco","Revista Literaria",1
"Allais, Alphonse","Lectura Amena",1
"Altenberg, Peter","Alpha",2
"Altenberg, Peter","Panida",2
"Altenberg, Peter","Revista Contemporánea",1
"Álvarez Bonilla, Enrique","Revista Literaria",1
"Álvarez R., Lisandro","Revista Alas",1
"Álvarez, Bernardo","Revista Alas",1
"Álvarez, Lisandro","Revista Alas",1
"Ángel Montoya, Alberto","Revista Alas",1
"Aparicio, Alberto","CULTURA",6
"Arango Ferrer, Eleázar","Panida",4
"Arango Ferrer, Javier","Revista Alas",1
"Arango M, Gabriel","Alpha",1
"Arango Mejía, Gabriel","La Bohemia Alegre",2
"Arboleda, Arturo","La Gruta",1
"Arbós y Góngora","Alpha",1
"Arce, Julio César","La Gruta",1
"Arce, Julio César","Revista Contemporánea",3
"Arce, Julio César","Trofeos",1
"Arciniegas, Ismael Enrique","Lectura Amena",1
"Arciniegas, Ismael Enrique","Revista Literaria",1
"Argüello, Agenor","Revista Alas",1
"Arias Argáez, Daniel","Revista Moderna",1
"Asbjørnsen, Peter Christen","CULTURA",1
"Azorin, Felipe","Trofeos",1
"Bahr, Hermann","Alpha",1
"Banchs, Enrique","Revista Alas",1
"Barbier, Auguste","Alpha",1
"Barón, Felipe","Revista Moderna",2
"Barrès, Maurice","Alpha",2
"Barrès, Maurice","Trofeos",1
"Barreto, José María","Revista Moderna",1
"Barriga Paez, J.","Trofeos",1
"Barzini, Luigi","Alpha",1
"Bayona Posada, Jorge","Alpha",1
"Bayona Posada, Jorge","La Gruta",1
"Bayona Posada, Jorge","Panida",1
"Beaunier, André","Trofeos",1
"Becerra, Ricardo","Revista Moderna",1
"Bécquer, Gustavo Adolfo","Panida",1
"Bedout, C. de","Lectura Amena",1
"Bel, León","La Bohemia Alegre",3
"Bellaigue, Camile","Revista Moderna",1
"Bello, Andrés","Trofeos",1
"Benavente, Jacinto","Alpha",1
"Benavente, Jacinto","Panida",2
"Bengoechea, Alfredo de","Revista Contemporánea",1
"Bernal, Luis A.","Lectura Amena",1
"Betancourt Villegas, Félix","Alpha",4
"Biart, Lucien","Revista Literaria",1
"Bilac, Olavo","Revista Moderna",1
"Bissière, Roger","Revista Moderna",1
"Blaine, James G.","Revista Literaria",1
"Blanco Asenjo, Ricardo","Lectura Amena",1
"Blanco Fombona, Rufino","Lectura Amena",2
"Blanco Fombona, Rufino","Revista Moderna",3
"Blanco Fombona, Rufino","Trofeos",5
"Blanco y Sánchez, Rufino","Revista Literaria",2
"Blanco, Héctor","Lectura Amena",1
"Blanco, Ignacio","Revista Alas",3
"Blasco Ibáñez, Vicente","Alpha",1
"Blomberg, Héctor Pedro","Revista Alas",1
"Bloy, León","Trofeos",1
"Bobadilla, Emilio","Lectura Amena",1
"Bocquet, León","Trofeos",1
"Böhl de Faber y Ruiz de Larrea, Cecilia","Revista Literaria",1
"Bohorquez, Daniel","CULTURA",3
"Bolívar, Simón","Revista Moderna",1
"Bonilla, Manuel Antonio","Alpha",2
"Bonnard, Abel","Revista Moderna",1
"Botero Guerra, Camilo","Alpha",1
"Botero Guerra, Camilo","Lectura Amena",2
"Botero Saldarriaga, Roberto","Revista Alas",1
"Botero, Emiro","Revista Alas",2
"Bouret, Alonso","Lectura Amena",1
"Bourget, Paul","Lectura Amena",1
"Breen, M.","Lectura Amena",1
"Briand, Monsieur","Trofeos",1
"Briceño, Manuel","La Gruta",1
"Briceño, Manuel","Trofeos",1
"Brisay, Henry de","Revista Moderna",2
"Brooks, Adam","Alpha",1
"Bueno, Manuel","Revista Contemporánea",1
"Bunster, Cesar","Revista Alas",1
"Burns, Robert","Revista Literaria",1
"Cabello de Carbonera, Mercedes","Revista Literaria",2
"Cadenas, José Juan","Lectura Amena",1
"Caicedo Rojas, José","Revista Literaria",2
"Caicedo Rojas, José","Revista Moderna",1
"Calcaño, José A.","Revista Literaria",1
"Calcaño, Julio","Revista Literaria",1
"Calderón, Luis Eduardo","La Gruta",1
"Camacho Ramírez, Arturo","Hojas de Poesía",5
"Camacho Roldán, Salvador","Revista Literaria",1
"Camacho Roldán, Salvador","Revista Moderna",1
"Campo, Carlos Del","La Bohemia Alegre",1
"Campoamor, Ramón de","Revista Literaria",3
"Cañas, Juan José","Revista Moderna",1
"Cano Gutíérrez, Fidel","Alpha",4
"Cano Gutíérrez, Fidel","La Bohemia Alegre",1
"Cano Gutíérrez, Fidel","Lectura Amena",6
"Cano Torres, Antonio José","Alpha",4
