Nombre de la revista,Número de la contribución,Autor de la contribución,Roles,Seudónimo / Abreviatura del nombre,País de origen,Título de la contribución,Número del fascículo,Fecha de publicación,Traducción,Traductor,Lengua en la que aparece en la revista,Lengua original [si es traducción],Tipo de contribución [Género según investigador],Tipo de contribución según la revista,Dedicatoria,Obras reseñadas [solo se indica para el caso de las reseñas],Cantidad de páginas,Paginación,Comentarios
Alpha,1,"Carrasquilla, Tomás",Creador,NA,Colombia,Homilia N.°I.,1,Marzo de 1906,No,NA,Español,NA,Prosa No ficción,NA,Luis Cano. El banjamín de la Partida,NA,14.5,1--15,Epígrafe (de una copla anasaluza)
Alpha,2,"Schiller, Friedrich",Creador,NA,Alemania,El guante,1,Marzo de 1906,Sí,"De la Torre, Gabriel",Español,Alemán,Poesía,NA,NA,NA,2,16-17,Transferencia. Traducción
Alpha,3,"Villiers de L'Isle-Adam, Auguste de",Creador,NA,Francia,Vox Populi,1,Marzo de 1906,Sí,"Restrepo, Carlo E",Español,Francés,Prosa Ficción,NA,Leconte de L´isle,NA,3,18-21,Transferencia. Traducción. Epígrafe de El Sargento Hoff
Alpha,4,"Uribe, Joaquín Antonio",Creador,NA,Colombia,Cuadros de la Naturaleza. Las Hormigas,1,Marzo de 1906,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,2,22-23,NA
Alpha,5,"Gaviria, José A.",Creador,NA,Colombia,Napoles (de una cartera de viajes),1,Marzo de 1906,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,3,24-27,NA
Alpha,6,"Altenberg, Peter",Creador,NA,Austria,Doce Años,1,Marzo de 1906,Sí,NA,Español,Alemán,Prosa Ficción,NA,NA,NA,1.5,28-29,NA
Alpha,7,Directores,Director,NA,Colombia,Crónica literaria,1,Marzo de 1906,No,NA,Español,NA,Prosa No ficción,Crónica literaria,NA,NA,0.5,30,NA
Alpha,8,Directores,Director,NA,Colombia,Crónica literaria,1,Marzo de 1906,No,NA,Español,NA,Reseña,Crónica literaria,NA,Kundry de Gabriel LaTorre,3.5,30-34,NA
Alpha,9,Directores,Director,NA,Colombia,Crónica literaria,1,Marzo de 1906,No,NA,Español,NA,Reseña,Crónica literaria,NA,Hija espiritual de Alfonso Castro,1.5,34-35,NA
Alpha,10,Directores,Director,NA,Colombia,Crónica literaria,1,Marzo de 1906,No,NA,Español,NA,Prosa No ficción,Conferencia,NA,NA,0.5,36,La conferencia es de Sebastian Hoyos
Alpha,11,Directores,Director,NA,Colombia,Crónica literaria,1,Marzo de 1906,No,NA,Español,NA,Reseña,Crónica literaria,NA,Crisálidas de Abel Farina,1.8,36-38,NA
Alpha,12,Directores,Director,NA,Colombia,Crónica literaria,1,Marzo de 1906,No,NA,Español,NA,Reseña,Crónica literaria,NA,Diego Velasco de Máximo Lorenzana,1.3,38-40,NA
Alpha,13,"Montoya, José",Creador,NA,NA,Crónica literaria,1,Marzo de 1906,No,NA,Español,NA,Prosa No ficción,Crónica literaria,NA,NA,0.7,40,Promocionan los Juegos Florales promovidos por El Centro Artístico al cual pertenecen los directores de Alpha
Alpha,14,Anónimo,Creador,NA,NA,Para empezar,1,Marzo de 1906,No,NA,Español,NA,Prosa No ficción,Notas editoriales,NA,NA,1.5,41-42,NA
Alpha,15,Anónimo,Reseñista,NA,NA,La Revista Contemporánea,1,Marzo de 1906,No,NA,Español,NA,Reseña de revista,Notas editoriales,NA,Revista Contemporánea,1,42-43,NA
Alpha,16,Anónimo,Creador,NA,NA,Homenaje,1,Marzo de 1906,No,NA,Español,NA,Prosa No ficción,Notas editoriales,NA,NA,0.5,43-44,NA
Alpha,17,Anónimo,Creador,NA,NA,"""Lectura y Arte""",1,Marzo de 1906,No,NA,Español,NA,Prosa Ficción,Notas editoriales,NA,NA,0.5,44,Explican la desapación de Lectura y Arte
Alpha,18,"Martínez Sierra, Gregorio",Crítico,NA,España,La tristeza del  Quijote,2,Abril de 1906,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,9,45-54,Transferencia: texto crítico escrito por autores externos
Alpha,19,"Farina, Abel",Creador,NA,Colombia,El monologo de todos los días,2,Abril de 1906,No,NA,Español,NA,Poesía,NA,NA,NA,2,55-56,Del libri inédito Flautas de Pan
Alpha,20,"Maragall, Juan",Crítico,NA,España,Escritor,2,Abril de 1906,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,3,57-60,NA
Alpha,21,"Restrepo, Saturnino",Creador,NA,Colombia,El enemigo (Fragmento),2,Abril de 1906,No,NA,Español,NA,Prosa No ficción,Fragmento,NA,NA,9,61-70,NA
Alpha,22,"Jaramillo, Bernardo",Creador,NA,Colombia,Serenata,2,Abril de 1906,No,NA,Español,NA,Poesía,NA,NA,NA,2,71-72,NA
Alpha,23,"Cano, Fidel",Crítico,NA,Colombia,Carneros emisarios,2,Abril de 1906,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,5,73-78,NA
Alpha,24,"Medina, Vicente",Creador,NA,Colombia,¡To Pomporica!,2,Abril de 1906,No,NA,Español,NA,Poesía,NA,NA,NA,2,79-80,NA
Alpha,25,"Restrepo, Saturnino",Creador,NA,NA,Desfile de alumnos,2,Abril de 1906,No,NA,Español,NA,Prosa No ficción,Notas editoriales,NA,NA,2.8,81-84,NA
Alpha,26,Anónimo,Creador,NA,NA,Nota importante,2,Abril de 1906,No,NA,Español,NA,Prosa No ficción,Notas editoriales,NA,NA,0.4,84,NA
Alpha,27,Anónimo,Reseñista,NA,NA,Un libro útil,2,Abril de 1906,No,NA,Español,NA,Reseña,Notas editoriales,NA,Primer directoria general de la ciudad de Medellín,0.4,84,NA
Alpha,28,"Grillo, Maximiliano",Crítico,NA,Colombia,Contra-Homilia,3,mayo de 1906,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,4,85-89,NA
Alpha,29,"Poe, Edgar",Creador,NA,Estados Unidos ,A Elena,3,mayo de 1906,Sí,"LaTorre, Gabriel",Español,Inglés,Poesía,NA,NA,NA,3,90-92,Transferencia: traducción. Traducidos para el amigo Cotoño Mejía
Alpha,30,"Rendón, Francisco De Paula",Creador,NA,Colombia,El palacio de la felicidad,3,mayo de 1906,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,11,93-104,NA
