Nombre de la revista,Número de la contribución,Autor de la contribución,Roles,Seudónimo / Abreviatura del nombre,País de origen,Título de la contribución,Número del fascículo,Fecha de publicación,Traducción,Traductor,Lengua en la que aparece en la revista,Lengua original [si es traducción],Tipo de contribución [Género según investigador],Tipo de contribución según la revista,Dedicatoria,Obras reseñadas [solo se indica para el caso de las reseñas],Cantidad de páginas,Paginación,Comentarios
La Bohemia Alegre,1,"Ferrer, Jesús",Creador,NA,Colombia,Inicial,1,Octubre de 1895,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,2.5,1-3,"Falta la página 2. Se refiere a los escritores ""amantes de las escuelas literarias de fin de siècle"", y dice que ""la imitación de literaturas extranjeras no puede reprocharse""."
La Bohemia Alegre,2,"Montoya, Antonio José",Director,NA,Colombia,Decadencia,1,Octubre de 1895,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,4.5,3-7,"Sobre un hombre que sueña con ser un bohemio en París, y que se debate sobre hacer imitaciones de las obras de grandes autores."
La Bohemia Alegre,3,"Velásquez García, José",Creador,Julio Vives Guerra,Colombia,En el Rhin,1,Octubre de 1895,No,NA,Español,NA,Poesía,NA,NA,NA,1.4,8-9,Nombre en francés de un río europeo.
La Bohemia Alegre,4,"Londoño, Pedro P.",Creador,P. Londoño,NA,Pipí,1,Octubre de 1895,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,3.4,9-12,
La Bohemia Alegre,5,"Henao, Federico Carlos",Director,Carlos Espinela,Colombia,"En el bosque (de ""Zarzarosas"")",1,Octubre de 1895,No,NA,Español,NA,Poesía,NA,NA,NA,0.5,12-13,
La Bohemia Alegre,6,"Gómez Escobar, Francisco",Creador,Efe Gómez,Colombia,Del revés,1,Octubre de 1895,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,1.6,13-14,Indica año: 1894
La Bohemia Alegre,7,"Quevedo Álvarez, Tomás",Creador,NA,Colombia,Así!,1,Octubre de 1895,No,NA,Español,NA,Poesía,NA,NA,NA,0.9,14-15,"Menciona a la Marsellesa.
Médico, redactor de Anales de la Academia de Medicina de Medellín. Nieto de José Ignacio Quevedo, hijo de Tomás Quevedo Restrepo (médicos, fundadores de la Academia de Medicina de Medellín). Algunas fuentes sobre la familia: 
- http://www.periodicoelpulso.com/ediciones-anteriores-2018/html/jun01/general/general-07.htm
- https://www.researchgate.net/publication/26583154_Jose_Ignacio_Quevedo_y_la_medicina_antioquena_en_el_siglo_XIX
- https://bibliotecadigital.udea.edu.co/dspace/handle/10495/5709
- https://bibliotecadigital.udea.edu.co/handle/10495/2125"
La Bohemia Alegre,8,"Restrepo, Saturnino",Creador,Emile Dravick,Colombia,Naufragio y suicidio,1,Octubre de 1895,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,2.1,15-17,Dato del seudónimo: https://revistas.udea.edu.co/index.php/biogenesis/article/download/326366/20783639/
La Bohemia Alegre,9,"Henao, Federico Carlos",Director,Carlos Espinela,Colombia,Pobrecilla!,1,Octubre de 1895,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,2,18-19,
La Bohemia Alegre,10,"Gutiérrez Robledo, Julio",Creador,NA,NA,Esther (improntu),1,Octubre de 1895,No,NA,Español,NA,Poesía,NA,"Duque, José F.",NA,0.5,20,Indica año: 1893
La Bohemia Alegre,11,"Velásquez García, José",Creador,Julio Vives Guerra,Colombia,"Jerónimo (del libro ""Helechos"")",1,Octubre de 1895,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,2,20-22,"Los personajes son unos ""bohemios"", los que componían en ese momento ""La Bohemia Alegre"""
La Bohemia Alegre,12,"Montoya, Antonio José",Director,NA,Colombia,Párrafos literarios,1,Octubre de 1895,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1.7,22-24,Indica que este tipo de textos aparecerá en algunos números de la revista. Sobre el origen de la crítica y la falta de críticos en Antioquiea. También sobre la presencia de poetas en decadencia y aquellos jóvenes enérgicos.
La Bohemia Alegre,13,Anónimo,Creador,NA,NA,Plumadas,1,Octubre de 1895,No,NA,Español,NA,Publicidad,NA,NA,NA,0.6,24,Saludo de la revista a la Prensa Nacional. Agradecimiento a Los Tiempos y Las Novedades por anunciar la aparición de la revista. Notas sobre envío de la revista y suscripción.
La Bohemia Alegre,14,Anónimo,Creador,NA,NA,Decreto número 151 de 1888,1,Octubre de 1895,No,NA,Español,NA,Publicidad,NA,NA,NA,0.2,24,Ley de prensa. Faltan páginas
La Bohemia Alegre,15,Anónimo,Creador,NA,NA,El derecho de una situación revesada,2,Noviembre de 1895,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,3.6,25-28,"Sobre las impresiones causadas por el texto del número anterior: ""Del revés"""
La Bohemia Alegre,16,"Restrepo, Saturnino",Creador,Emile Dravick,Colombia,Percance,2,Noviembre de 1895,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,3,28-31,
La Bohemia Alegre,17,"Quevedo Álvarez, Tomás",Creador,NA,Colombia,Nieblas,2,Noviembre de 1895,No,NA,Español,NA,Poesía,NA,NA,NA,1,31-32,
La Bohemia Alegre,18,"Vélez Barrientos, Lucrecio",Creador,Gaspar Chaverra,Colombia,El que se casa quiere casa,2,Noviembre de 1895,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,7.3,32-39,"Menciona un bazar francés. El protagonista desprecia a los ingleses. Compara a un personaje con Sancho Panza. Un personaje habla en inglés mezclado con español. Lucrecio Vélez Barrientos, Gaspar Chaverra (Bello, 4 de febrero de 1850 – Medellín, 15 de noviembre de 1925). Novela ""Rara avis"" (1911) reeditada en 2020 por EAFIT. Fuentes: 
- https://dialnet.unirioja.es/descarga/articulo/8008002.pdf
- https://editorial.eafit.edu.co/index.php/editorial/catalog/download/80/92/274-1?inline=1
- https://www.flickr.com/photos/santiagopareja/7399791324"
La Bohemia Alegre,19,"Velásquez García, José",Creador,Julio Vives Guerra,Colombia,Coraggio!,2,Noviembre de 1895,No,NA,Español,NA,Poesía,NA,NA,NA,1.2,39-41,"Menciona a los ""bohemios"""
La Bohemia Alegre,20,"Henao, Federico Carlos",Director,Carlos Espinela,Colombia,Virgen y viuda,2,Noviembre de 1895,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,1.5,41-43,
La Bohemia Alegre,21,"Londoño, Pedro P.",Creador,P. Londoño,NA,La linda Ghilda,2,Noviembre de 1895,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,1.3,43-44,
La Bohemia Alegre,22,"Henao, Federico Carlos",Director,Carlos Espinela,Colombia,Pudor de idea,2,Noviembre de 1895,No,NA,Español,NA,Poesía,NA,NA,NA,0.4,44-45,
