"Autor de la contribución
Apellido, Nombre",Fuente de datos,Seudónimo,Sexo,País de origen,Año de nacimiento del colaborador,Año de muerte del colaborador,GND_ID,Wikidata_ID,Colaboradores_GND,Sexo o género_GND,Fecha de nacimiento_GND,Fecha de fallecimiento_GND,Lugar de nacimiento GND,País de origen GND,Colaboradores_Wikidata,sexo o género_Wikidata,Lugar de nacimiento_Wikidata,País de origen_Wikidata,Fecha de nacimiento_Wikidata,Fecha de fallecimiento_Wikidata,Colaborador_VIAF,Link_VIAF,,
"Abad Gómez, Héctor",https://www.wikidata.org/wiki/Q9006166,,M,Colombia,1921,1987,119034158,Q9006166,"Abad Gómez, Héctor",Unbekannt,1921,1987,,,Héctor Abad Gómez,male,Jericó,Colombia,1921-01-01T00:00:00Z,1987-08-25T00:00:00Z,"Abad Gómez, Héctor",http://viaf.org/viaf/262529081,262529081,
"Abadía Arango, Sergio",WW Latin America 1; QeQ Ven.; Sánchez: Diccionario; Gaitán,,M,Colombia,1896,1973,,,"Abadía Arango, Sergio",,,,,,"Abadía Arango, Sergio",,,,,,Sergio Abadía Arango,http://viaf.org/viaf/2165569899637431433,2165569899637430000,
"Abella Rodríguez, Arturo",https://www.wikidata.org/wiki/Q5707081,,M,Colombia,1915,2006,1047919575,Q5707081,"Abella, Arturo",Unbekannt,1915,,,,Arturo Abella Rodríguez,male,Bogotá,Colombia,1915-10-18T00:00:00Z,2006-02-18T00:00:00Z,"Abella Rodríguez, Arturo",http://viaf.org/viaf/268567155,268567155,
"Acevedo Carmona, Jairo",https://d-nb.info/gnd/104792837X,,M,Colombia,,,104792837X,,"Acevedo Carmona, Jairo",Unbekannt,,,,,"acevedo c., jairo",,,,,,"Acevedo C., Jairo",http://viaf.org/viaf/25918550,25918550,
"Acevedo Restrepo, Delfín",https://d-nb.info/gnd/131679163,,M,Colombia,,,131679163,,"Acevedo Restrepo, Delfín",Unbekannt,,,,,"acevedo restrepo, delfin",,,,,,"Acevedo Restrepo, Delfín",http://viaf.org/viaf/74991596,74991596,
"Achury Valenzuela, Darío",https://www.wikidata.org/wiki/Q105770609,,M,Colombia,1906,1999,1056428090,Q105770609,"Achury Valenzuela, Darío",Unbekannt,1906,,,,Dario Achury Valenzuela,male,Guatavita,Colombia,1906-05-16,1999-01-17,"Achury Valenzuela, Darío",http://viaf.org/viaf/109508012,109508012,
"Acosta A., José María",Sánchez: Diccionario,,M,Colombia,1918,,,,"Acosta A., José María",,,,,,"Acosta A., José María",,,,,,"Acosta A., José María",,,
"Acosta Borrero, Pedro",QeQ Ven.; Sánchez: Diccionario,,M,Colombia,1927,,131935941,,"Acosta Borrero, Pedro",Unbekannt,,,,,"Acosta Borrero, Pedro",,,,,,"Acosta Borrero, Pedro",http://viaf.org/viaf/8431159477629527990008,"8,43116E+21",
"Acosta de Samper, Soledad",https://www.wikidata.org/wiki/Q7557523,,F,Colombia,1833,1913,119492385,Q7557523,"Acosta de Samper, Soledad",Unbekannt,1833-05-05,1913-03-17,Bogotá,Kolumbien,Soledad Acosta,female,Bogotá,Colombia,1833-05-05,1913-03-17,"Acosta de Samper, Soledad",http://viaf.org/viaf/120747916,120747916,
"Acosta Hoyos, Luis Eduardo",https://d-nb.info/gnd/1047929104,,M,Colombia,,,1047929104,,"Acosta Hoyos, Luis Eduardo",Unbekannt,,,,,"acosta hoyos, luis eduardo",,,,,,"Acosta-Hoyos, Luis Eduardo",http://viaf.org/viaf/65375743,65375743,
