"Contributor","Frecuencia"
"Acosta, Javier",15
"Obando Cardona, Jorge",15
"Ruíz, Dael",12
"Tejada Córdoba, Blas",10
"Coradine, Alberto",8
"Escobar Larrazábal, Melitón",8
"D'Oribe, R.",7
"Escobar, Pedro Ignacio",7
"Montoya Pérez, Rafael",7
"Aparicio, Alberto",6
"Ramos Urdaneta, Alfredo",6
"Savage, R.H.",6
"Arango Ferrer, Eleázar",4
"Correa U., Emilio",4
"Echeverri Peláez, Alfonso",4
"Ferrer, Jesús",4
"Gómez, L.",4
"Jaramillo, Escipión",4
"Londoño, Pedro P.",4
"Longas, Horacio",4
"Merino, Jesús A.",4
"Ortega, Alfredo",4
"Posada, Daniel",4
"Rémy, François",4
"Rodríguez E., Carlos E.",4
"Uribe Lince, Gabriel",4
"Bel, León",3
"Blanco, Ignacio",3
"Bohorquez, Daniel",3
"Floralba",3
"Gaitán O., Gustavo",3
"Mesa Nicholls, Alejandro",3
"Monvel, María",3
"Negueri, D.",3
"Paiba, Balbino",3
"Posada Hernández, Antonio",3
"Santa María Vermersch, R.",3
"Toro Isaza, J.",3
"Torres Durán, Carlos",3
"Vélez, Salvador",3
"Abella Mendoza, Temístocles",2
"Botero, Emiro",2
"D'Ors, Eugenio",2
"De la Cruz, Efraím",2
"Díaz Romero, Eugenio",2
"Dumas, Joël",2
"Echeverría, Marcelino",2
"Esguerra, Manuel",2
"Gómez E., Bernardo",2
"Gomez Naranjo, Abelardo",2
"Guerra Azuola, Ramón",2
"Latorre Mendoza, Luis",2
"Lleras A., Alfredo",2
"Merino, Laureano",2
"Montoya Kennedy, F. A.",2
"Narváez, Antonio de",2
"Palacio M, Obdulio",2
"Pérez Monsalva, Santiago",2
"Samper, Emilio",2
"Sandino, Adeoldato",2
"Vélez, Guillermo",2
"Vélez, Victorino",2
"Vieco Ortíz, Luis Eduardo",2
"Zuleta, Juan A.",2
"Abella-Nouvrac, L",1
"Acevedo, Graciliano",1
"Alba, E.",1
"Alcántara Jurado, Francisco",1
"Álvarez Bonilla, Enrique",1
"Álvarez R., Lisandro",1
"Álvarez, Bernardo",1
"Álvarez, Lisandro",1
"Arango M, Gabriel",1
"Arbós y Góngora",1
"Argüello, Agenor",1
"Arias Argáez, Daniel",1
"Azorin, Felipe",1
"Barriga Paez, J.",1
"Bedout, C. de",1
"Bernal, Luis A.",1
"Bolívar, Simón",1
"Bouret, Alonso",1
"Breen, M.",1
"Briand, Monsieur",1
"Brooks, Adam",1
"Bueno, Manuel",1
"Calcaño, José A.",1
"Campo, Carlos Del",1
"Casas Castañeda, Vicente",1
"Castello, Manuel",1
"Chaves, J.R.",1
"Clímaco, Silva",1
"Coll, Pedro Emilio",1
"Colorado, Vicente",1
"Consuegra, Manuel S.",1
"Cordovez Moure, José María",1
"Corral, M. Antonio del",1
"Covarrubias, Miguel",1
"Dahlgren, E.N.",1
"De Creta, Ruy",1
"De Narváez, Antonio",1
"Díaz del Castillo, Ildefonso",1
"Díaz Rodríguez, Manuel",1
"Díez Canedo, Manuel",1
"Diuribía, Marcel",1
"Donato Navarro, M.",1
"Echavarría y Larrazábal, Raimundo",1
"Echegorri, P.",1
"Echeverri, Alonso",1
"Eraña, Silverio",1
"Escobar Padilla, Cenón",1
"Escobar R., Eusebio",1
"Escobar, F.S.",1
"Esguerra Ortiz, Joaquín",1
"Gaitán O, Gustavo",1
"Gálvez, Manuel (hijo)",1
"Gartner, Hugo",1
"Gaviria Arango, Enrique",1
"Girón, Lázaro María",1
"Gomez Jaime de Abadia, Herminia",1
"Gómez, Lucas",1
"Gómez, Pedro Nel",1
"Gómez, Plinio",1
"González Martínez, Enrique",1
"Gramont, Luciano",1
"Gray, Mortimer",1
"Greiner Aubin, Gabriel",1
"Güell, Luis C.",1
"Gutiérrez B., Germán",1
"Gutierrez, Adolfo León",1
"Gutiérrez, Francisco A.",1
"Guzmán, César Coronado",1
"Heredia, Francisco de",1
"Herrán, Pablo Emilio",1
"Hoyos y Vinent, Antonio de",1
"Hoyos, Sebastián",1
"Isaacs, Lísimaco",1
"Isaza R., Fernando",1
"Jaramillo P, Escipión",1
"Joufrez, Lila de",1
"Lambert, Suzanne",1
"Larrazábal, Antonio",1
"Laverde Liévano, Manuel",1
"Le Blond, M.",1
"Liborio Echavarría, D.",1
"Lizardo, Pedro",1
"López, Samuel",1
"Lorenzana, Máximo",1
"Lozano, Alberto",1
"Manrique, Juan E",1
"Martel, L.",1
"Mejía V., Sebastián",1
"Michaud-D'Hamiae, L.",1
"Monte, D. L.",1
"Montoya Pérez, E.",1
"Mora, Félix",1
"Morales Berti, Luis",1
"Moreno, Abraham",1
"Munro, Alick",1
"Murena, Claudio",1
"Navarro, M.Donato",1
"Novicow,F",1
"Ortiz V, Manuel",1
"Palacio Uribe, Tomás",1
"Paláu R, Antonio M.",1
"Pastor Ríos, Justo",1
"Pérez, A. J.",1
"Pinto, Eliseo",1
"Pizano, Marco A.",1
"Porras, José Ángel",1
"Posada, José",1
"Puga de Losada, Amalia",1
"Ramos Ruiz, Gonzalo",1
"Remouchamps, Victor",1
"Restrepo Briceño, Fernando",1
"Restrepo, Santiago",1
"Revoux, Paul",1
"Riche, Iván",1
"Rodríguez-Rendueles, M.",1
"Rojas, Julio A",1
"Rollinar, Maurice",1
"Rosales, Carlos N",1
"Rubió y Ors, Joaquín",1
"Saavedra Zárate, C.",1
"Saco, José Antonio",1
"Saíz, José María",1
"Salamanca, T. D.",1
"Salduba",1
"Sandino, Aleodato",1
"Scarpeta, Oswaldo",1
"Schwob, L.",1
"Segovia, L",1
"Sevilla, Rafael",1
"Soto, Aquilino",1
"Tamayo, Carlos",1
"Tejera, Felipe",1
"Terán, Luis María",1
"Tobar, Alfonso",1
"Torres Pinzón, Carlos Arturo",1
"Urdaneta Ramos, Alfredo",1
"Uribe Mejía, F. A.",1
"Valenzuela, Teodoro",1
"Vallés, L",1
"Vargas, Justo",1
"Vásquez, Juan de Dios",1
"Vázquez B., A.",1
"Vega, Daniel de la",1
"Velázquez, Alejandro",1
"Vélez, Eladio",1
"Villa Vélez, Eduardo",1
"Villa, Eduardo",1
"Villegas, Marco A.",1
"Zaavedra Zárate, G.",1
