Nombre de la revista,Número de la contribución,Autor de la contribución,Roles,Seudónimo / Abreviatura del nombre,País de origen,Título de la contribución,Número del fascículo,Fecha de publicación,Traducción,Traductor,Lengua en la que aparece en la revista,Lengua original [si es traducción],Tipo de contribución [Género según investigador],Tipo de contribución según la revista,Dedicatoria,Obras reseñadas [solo se indica para el caso de las reseñas],Cantidad de páginas,Paginación,Comentarios
CULTURA,1,SD,Ilustrador,SD,NA,NA,1,"FEBRERO, MCMXV",No,NA,Español,NA,Imagen,SD,NA,NA,1.0,NA,"1. La portada de la revista tiene elementos afines al neoclasicismo grecorromano y es de color café. 2. Contiene una columna que sostiene el nombre de la revista ''CULTURA'' en una tipografía especial, encima de ella hay siluetas de personas en caballos. En medio de esta ilustración se encuentra el contenido de la revista. 3. En la parte final de la página se encuentra el siguiente seudonimo ''ARBOLEDA VALENCIA BOGOTA'', este corresponde a la imprenta."
CULTURA,2,NA,Ninguno de los anteriores,NA,NA,NA,1,"FEBRERO, MCMXV",No,NA,Español,NA,Publicidad,Suscripción,NA,NA,0.2,NA,1. En este apartado mencionan que el valor de la suscripción a la revista por seis números que contiene 400 pp. Vale $1.50. 2. El valor de un ejemplar $0.25
CULTURA,3,NA,Ninguno de los anteriores,NA,NA,NA,1,"FEBRERO, MCMXV",No,NA,Español,NA,Publicidad,SD,NA,NA,0.2,NA,"1. Aquí mencionan la dirección física y telegráfica de la revista para contactarla: ''ADMINISTRACIÓN: CALLE 12,NUMERO 110-A, DIRECCION TELEGRAFICA: ''CULTURA'' BOGOTA (COLOMBIA)"
CULTURA,4,"Nieto Caballero, Agustín",Editor,SD,Colombia,FUNDADORES,1,"FEBRERO, MCMXV",No,NA,Español,NA,Publicidad,SD,NA,NA,0.4,NA,"1. Se enuncian los fundadores de la revista. Algunos como Luis López de Mesa se les indica su rol posteriomente como director, los demás asumimos que son editores."
CULTURA,5,"Aparicio, Alberto",Editor,SD,Colombia,FUNDADORES,1,"FEBRERO, MCMXV",No,NA,Español,NA,Publicidad,FUNDADORES,NA,NA,0.4,NA,"1. Se enuncian los fundadores de la revista. Algunos como Luis López de Mesa se les indica su rol posteriomente como director, los demás asumimos que son editores."
CULTURA,6,"Coradine, Alberto",Editor,SD,NA,FUNDADORES,1,"FEBRERO, MCMXV",No,NA,Español,NA,Publicidad,FUNDADORES,NA,NA,0.4,NA,"1. Se enuncian los fundadores de la revista. Algunos como Luis López de Mesa se les indica su rol posteriomente como director, los demás asumimos que son editores."
CULTURA,7,"Paláu, Alfonso",Editor,SD,NA,FUNDADORES,1,"FEBRERO, MCMXV",No,NA,Español,NA,Publicidad,FUNDADORES,NA,NA,0.4,NA,"1. Se enuncian los fundadores de la revista. Algunos como Luis López de Mesa se les indica su rol posteriomente como director, los demás asumimos que son editores."
CULTURA,8,"Molina Garcés, Ciro",Editor,SD,Colombia,FUNDADORES,1,"FEBRERO, MCMXV",No,NA,Español,NA,Publicidad,FUNDADORES,NA,NA,0.4,NA,"1. Se enuncian los fundadores de la revista. Algunos como Luis López de Mesa se les indica su rol posteriomente como director, los demás asumimos que son editores."
CULTURA,9,"López de Mesa, Luis",Director,López de Mesa.,Colombia,FUNDADORES,1,"FEBRERO, MCMXV",No,NA,Español,NA,Publicidad,FUNDADORES,NA,NA,0.4,NA,"1. Se enuncian los fundadores de la revista. Algunos como Luis López de Mesa se les indica su rol posteriomente como director, los demás asumimos que son editores."
CULTURA,10,"Carvajal, Manuel A.",Editor,"Carvajal, M.A",Colombia,FUNDADORES,1,"FEBRERO, MCMXV",No,NA,Español,NA,Publicidad,FUNDADORES,NA,NA,0.4,NA,"1. Se enuncian los fundadores de la revista. Algunos como Luis López de Mesa se les indica su rol posteriomente como director, los demás asumimos que son editores."
