Nombre de la revista,Número de la contribución,Autor de la contribución,Roles,Seudónimo / Abreviatura del nombre,País de origen,Título de la contribución,Número del fascículo,Fecha de publicación [aaaa-mm-dd],Traducción,Traductor,Lengua en la que aparece en la revista,Lengua original [si es traducción],Tipo de contribución [Género según investigador],Tipo de contribución según la revista,Dedicatoria,Obras reseñadas [solo se indica para el caso de las reseñas],Cantidad de páginas,Paginación,Comentarios
Hojas de Poesía,1,Anónimo,Redactor,NA,NA,Porfirio Barba Jacob,1,Febrero de 1942,No,NA,Español,NA,Poesía,NA,NA,NA,1,NA,NA
Hojas de Poesía,2,"Osorio, Miguel Ángel",Creador,"Barba Jacob, Profirio",Colombia,Estancias,1,Febrero de 1942,No,NA,Español,NA,Poesía,Canciones,NA,NA,0.5,NA,NA
Hojas de Poesía,3,"Osorio, Miguel Ángel",Creador,"Barba Jacob, Profirio",Colombia,Plenitud,1,Febrero de 1942,No,NA,Español,NA,Poesía,Canciones,NA,NA,0.5,NA,NA
Hojas de Poesía,4,"Osorio, Miguel Ángel",Creador,"Barba Jacob, Profirio",Colombia,Canción de la vida profunda,1,Febrero de 1942,No,NA,Español,NA,Poesía,Canciones,NA,NA,1,NA,Tiene un epígrafe de Montaigne
Hojas de Poesía,5,"Osorio, Miguel Ángel",Creador,"Barba Jacob, Profirio",Colombia,Nueva canción de la vida profunda,1,Febrero de 1942,No,NA,Español,NA,Poesía,Canciones,NA,NA,1,NA,NA
Hojas de Poesía,6,"Osorio, Miguel Ángel",Creador,"Barba Jacob, Profirio",Colombia,Lamentación de octubre,1,Febrero de 1942,No,NA,Español,NA,Poesía,Canciones,NA,NA,1,NA,NA
Hojas de Poesía,7,"Osorio, Miguel Ángel",Creador,"Barba Jacob, Profirio",Colombia,Futuro,1,Febrero de 1942,No,NA,Español,NA,Poesía,Canciones,NA,NA,1,NA,NA
Hojas de Poesía,8,Anónimo,Redactor,NA,NA,Guillermo Valencia,2,Marzo 15 1942,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,1,NA,Al final de la página tiene la bibliografía
Hojas de Poesía,9,"Valencia, Guillermo",Creador,El Maestro,Colombia,Las dos cabezas. Judith y Holofernes. (Tesis),2,Marzo 15 1942,No,NA,Español,NA,Poesía,Sonetos,NA,NA,1,NA,Tiene un epígrafe de El Eclesiástico
Hojas de Poesía,10,"Valencia, Guillermo",Creador,El Maestro,Colombia,Las dos cabezas. Salome y Hoakanann. (Antítesis),2,Marzo 15 1942,No,NA,Español,NA,Poesía,Sonetos,NA,NA,1,NA,NA
Hojas de Poesía,11,"Valencia, Guillermo",Creador,El Maestro,Colombia,La palabra de Dios. (Síntesis),2,Marzo 15 1942,No,NA,Español,NA,Poesía,Sonetos,NA,NA,0.5,NA,NA
Hojas de Poesía,12,"Valencia, Guillermo",Creador,El Maestro,Colombia,La Esfinge,2,Marzo 15 1942,No,NA,Español,NA,Poesía,Sonetos,M.G.,NA,0.5,NA,NA
Hojas de Poesía,13,"Valencia, Guillermo",Creador,El Maestro,Colombia,A un amigo muerto,2,Marzo 15 1942,No,NA,Español,NA,Poesía,Sonetos,NA,NA,0.5,NA,NA
Hojas de Poesía,14,"Valencia, Guillermo",Creador,El Maestro,Colombia,Turris Eburnea,2,Marzo 15 1942,No,NA,Español,NA,Poesía,Sonetos,NA,NA,0.5,NA,NA
Hojas de Poesía,15,"Valencia, Guillermo",Creador,El Maestro,Colombia,A Erasmo de Rotterdam,2,Marzo 15 1942,No,NA,Español,NA,Poesía,Sonetos,NA,NA,0.5,NA,NA
Hojas de Poesía,16,"Valencia, Guillermo",Creador,El Maestro,Colombia,Pigmalion,2,Marzo 15 1942,No,NA,Español,NA,Poesía,Sonetos,NA,NA,0.5,NA,NA
Hojas de Poesía,17,"Valencia, Guillermo",Creador,El Maestro,Colombia,Moises. I. La estatua,2,Marzo 15 1942,No,NA,Español,NA,Poesía,Sonetos,NA,NA,0.5,NA,NA
Hojas de Poesía,18,"Valencia, Guillermo",Creador,El Maestro,Colombia,Moises. II. El símbolo,2,Marzo 15 1942,No,NA,Español,NA,Poesía,Sonetos,NA,NA,0.5,NA,NA
Hojas de Poesía,19,Anónimo,Redactor,NA,NA,Luis Carlos López,3,Marzo 30 1942,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,NA,Al final de la página tiene la bibliografía
