Nombre de la revista,Número de la contribución,Autor de la contribución,Roles,Seudónimo / Abreviatura del nombre,País de origen,Título de la contribución,Número del fascículo,Fecha de publicación,Traducción,Traductor,Lengua en la que aparece en la revista,Lengua original [si es traducción],Tipo de contribución [Género según investigador],Tipo de contribución según la revista,Dedicatoria,Obras reseñadas [solo se indica para el caso de las reseñas],Cantidad de páginas,Paginación,Comentarios
Panida,1,Daniel Posada,NA,NA,Colombia,Satrería francesa,1,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,Cuenta con una ilustración de ropa [esta publicidad se repite en otros números]
Panida,2,Administración,NA,NA,Colombia,"""Panida""",1,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,Aviso sobre precios y distribuidores [esta publicidad se repite en otros números]
Panida,3,NA,NA,NA,Colombia,Almacén británico,1,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,
Panida,4,Guillermo Vélez,NA,NA,Colombia,Ebanistería Guillermo Vélez ,1,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,Se anuncia que se ubica frente al teatro [esta publicidad se repite en otros números]
Panida,5,Administración,NA,NA,Colombia,"""Panida""",1,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,Aviso sobre pagos y suscripciones [esta publicidad se repite en otros números]
Panida,6,Gabriel Uribe Lince,NA,NA,Colombia,Lavado y planchado a vapor,1,1915,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,El resposable anuncia que la maquinaria es europea y cuenta con diferentes estudios en el exterior [esta publicidad se repite en otros números]
Panida,7,José Enrique Rodó,Creador,NA,Uruguay,En el álbum de un poeta,1,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,1,
Panida,8,Jorge Villa Carrasquilla,Creador,M. Carré,Colombia,Una historia,1,1915,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,1,2,
Panida,9,Félix Mejía Arango,Creador,C. R. Pino,Colombia,Elegía,1,1915,No,NA,Español,NA,Poesía,NA,NA,NA,2,3-1,
Panida,10,Victor Remouchamps,Creador,NA,Francia,Nil Noir,1,1915,Sí,Jesús Restrepo Olarte,Español,Francés,Poesía,NA,NA,NA,1,4,
Panida,11,Manuel Machado,Creador,NA,España,"Granada, por Rusiñol",1,1915,No,NA,Español,NA,Poesía,NA,NA,NA,1,5,
Panida,12,Anatole France,Creador,NA,Francia,Cuento de Hadas,1,1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,3,5-7,
Panida,13,León de Greiff,Creador,Leo LEGRIS,Colombia,La Balada de los Buhos Estáticos,1,1915,No,NA,Español,NA,Poesía,NA,NA,NA,2,7-8,
Panida,14,Peter Altenberg,Creador,NA,Austria,De diez y siete a treinta,1,1915,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,2,9-10,
Panida,15,Rafael Jaramillo Arango,Creador,Fernando Villalba,Colombia,Pan,1,1915,No,NA,Español,NA,Poesía,NA,NA,NA,2,10-11,
