Nombre de la revista,Número de la contribución,Autor de la contribución,Roles,Seudónimo / Abreviatura del nombre,País de origen,Título de la contribución,Número del fascículo,Fecha de publicación,Traducción,Traductor,Lengua en la que aparece en la revista,Lengua original [si es traducción],Tipo de contribución [Género según investigador],Tipo de contribución según la revista,Dedicatoria,Obras reseñadas [solo se indica para el caso de las reseñas],Cantidad de páginas,Paginación,Comentarios
Revista Moderna. (Enciclopedia colombiana),1,Anónimo,Creador,NA,NA,Indice de autores,1,Enero de 1915,No,NA,Español,NA,Prosa No ficción,Indice de autores,NA,NA,2,NA,NA
Revista Moderna. (Enciclopedia colombiana),2,Anónimo,Creador,NA,NA,Revista Moderna. (Enciclopedia colombiana),1,Enero de 1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,2,NA,Información sobre la revista
Revista Moderna. (Enciclopedia colombiana),3,La dirección,Director,L.D,Colombia,Revista Moderna. (Enciclopedia colombiana),1,Enero de 1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,3.5,1--4,NA
Revista Moderna. (Enciclopedia colombiana),4,"Goyau, Georges ",Creador,NA,Francia,Un nuevo pontificado,1,Enero de 1915,Sí,NA,Español,Francés,Prosa No ficción,NA,NA,NA,13.5,4--18,Transferecia; traducción y Texto tomado de la Revue de deux Mondes
Revista Moderna. (Enciclopedia colombiana),5,"Carreño, Pedro M.",Creador,NA,Colombia,Desde Londres,1,Enero de 1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,6,19-24,NA
Revista Moderna. (Enciclopedia colombiana),6,"Serao, Matilde",Creador,NA,Grecia,Poema de una noche de amor,1,Enero de 1915,Sí,Revista Moderna,Español,Italiano,Prosa Ficción,Novela,NA,NA,13,25-42,"Transferencia: traducción de una novela. Al final dicen: ""Versión del Italiano para Revista Moderna"")"
Revista Moderna. (Enciclopedia colombiana),7,"Restrepo Tirado, Ernesto",Creador,NA,Colombia,Sinsabores. De Gonzalo de Oviedo en tierra firme,1,Enero de 1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,14,43-56,NA
Revista Moderna. (Enciclopedia colombiana),8,"Caro, Miguel Antonio",Creador,NA,Colombia,¡Mío¡,1,Enero de 1915,No,NA,Español,NA,Poesía,Soneto,NA,NA,0.5,57,"La revista los publica como ""Dos sonetos inéditos"""
Revista Moderna. (Enciclopedia colombiana),9,"Caro, Miguel Antonio",Creador,NA,Colombia,Vida y muerte,1,Enero de 1915,No,NA,Español,NA,Poesía,Soneto,NA,NA,0.5,57,"La revista los publica como ""Dos sonetos inéditos"""
Revista Moderna. (Enciclopedia colombiana),10,"Cuervo Márquez, Emilio",Director,NA,Colombia,Revista Política,1,Enero de 1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,10.25,58-68,NA
