Nombre de la revista,"Number of contribution
in magazine","Contributor
Last name / first name",Roles de los colaboradores ,Pseudonym / abbreviation used,Source of contributor data,Sex,País de origen,Year of Birth,Year of Death,Age at contribution,Title of contribution,Issue number,Original issue date,Calculable issue date,"Inicio
[aaaa-mm-dd] ","Término
[aaaa-mm-dd] ","Duración
[pasos de tiempo en días]","Type of contribution
[Género según investigador]",Género según la revista,Lengua,Dedicatoria,Libros reseñados,Traductor,Lengua original,No. páginas,Mención de viajeros ,"Adaptación / apropiación /
modificación / reinterpretación","Intermediarios en
las transferencias",Comentarios
La Gruta,1,Directores,,,NA,M,Colombiano,NA,NA,NA,Amado nervo,1,Juli 13 1903,1903-07-13,1903-07-13,1903-07-25,12,Crítica,NA,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,2,"Grillo, Maximiliano ",,,https://biblioteca.academiahistoria.org.co/pmb/opac_css/index.php?lvl=author_see&id=13640,M,Colombiano,1868,1949,NA,Cosas que mueren,1,Juli 13 1903,1903-07-13,1903-07-13,1903-07-25,12,Cuento,Cuento,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,3,"Acosta, Javier",,,NA,M,Colombiano,NA,NA,NA,De la decadencia y el simbolismo,1,Juli 13 1903,1903-07-13,1903-07-13,1903-07-25,12,Manifiesto,Manifiesto,NA,NA,,NA,,7,NA,NA,NA,
La Gruta,4,"Villafañe, Carlos",,,https://www.ecured.cu/Carlos_Mar%C3%ADa_Villafa%C3%B1e,M,Colombiano,1881,1959,NA,Ingenuidad tristes,1,Juli 13 1903,1903-07-13,1903-07-13,1903-07-25,12,Poesía,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,5,Anónimo,,,NA,M,NA,NA,NA,NA,Buena obra,1,Juli 13 1903,1903-07-13,1903-07-13,1903-07-25,12,Recomendación de libro,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,6,"Grillo, Maximiliano ",,,https://biblioteca.academiahistoria.org.co/pmb/opac_css/index.php?lvl=author_see&id=13640,M,Colombiano,1868,1949,NA,Circular,1,Juli 13 1903,1903-07-13,1903-07-13,1903-07-25,12,Circular,Circular,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,7,Anónimo,,,NA,M,NA,NA,NA,NA,Triunfa el amor,1,Juli 13 1903,1903-07-13,1903-07-13,1903-07-25,12,Cuento,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,8,Vicepresidente,,,NA,M,Colombiano,NA,NA,NA,Decreto N°.84 de 1903,1,Juli 13 1903,1903-07-13,1903-07-13,1903-07-25,12,Decreto,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,9,Anónimo,,,NA,M,NA,NA,NA,NA,"""Fenicia""",1,Juli 13 1903,1903-07-13,1903-07-13,1903-07-25,12,NA,Anuncio,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,10,Anónimo,,,NA,M,NA,NA,NA,NA,Pirotecnia,1,Juli 13 1903,1903-07-13,1903-07-13,1903-07-25,12,NA,Anuncios,NA,NA,,NA,,3,NA,NA,NA,Varios anuncios
La Gruta,11,Anónimo,,,NA,M,NA,NA,NA,NA,La agencia de Fedérico Rivas Frade,2,25 Juli 1903,1903-07-25,1903-07-25,1903-08-03,9,Anuncio,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,12,Anónimo,,,NA,M,NA,NA,NA,NA,Carreras.Programa,2,25 Juli 1903,1903-07-25,1903-07-25,1903-08-03,9,Anuncio,NA,NA,NA,,NA,,1,NA,NA,NA,
