"node","two.mode.degree","projecteddegree","projectedbetweenness"
"Alpha",0,0,0
"CULTURA",0,0,0
"Hojas de Poesía",0,0,0
"La Bohemia Alegre",0,0,0
"La Gruta",0,0,0
"Lectura Amena",0,0,0
"Panida",0,0,0
"Revista Alas",0,0,0
"Revista Contemporánea",0,0,0
"Revista Literaria",0,0,0
"Revista Moderna",0,0,0
"Trofeos",0,0,0
"[Ilegible]",1,111,0
"AA. VV.",1,138,0
"Abella-Nouvrac, L",1,130,0
"Abella Mendoza, Temístocles",1,111,0
"Acevedo, Graciliano",1,79,0
"Acosta de Samper, Soledad",1,111,0
"Acosta, Javier",3,185,0
"Acremant, Albert",1,63,0
"Alba Barrenechea, Antonio",1,79,0
"Alba, E.",1,138,0
"Alcántara Jurado, Francisco",1,111,0
"Allais, Alphonse",1,138,0
"Altenberg, Peter",3,233,0
"Álvarez Bonilla, Enrique",1,111,0
"Álvarez R., Lisandro",1,63,0
"Álvarez, Bernardo",1,63,0
"Álvarez, Lisandro",1,63,0
"Ángel Montoya, Alberto",1,63,0
"Aparicio, Alberto",1,36,0
"Arango Ferrer, Eleázar",1,83,0
"Arango Ferrer, Javier",1,63,0
"Arango M, Gabriel",1,130,0
"Arango Mejía, Gabriel",1,31,0
"Arboleda, Arturo",1,79,0
"Arbós y Góngora",1,130,0
"Arce, Julio César",3,185,0
"Arciniegas, Ismael Enrique",2,244,0
"Argüello, Agenor",1,63,0
"Arias Argáez, Daniel",1,131,0
"Asbjørnsen, Peter Christen",1,36,0
"Azorin, Felipe",1,92,0
"Bahr, Hermann",1,130,0
"Banchs, Enrique",1,63,0
"Barbier, Auguste",1,130,0
"Barón, Felipe",1,131,0
"Barrès, Maurice",2,205,0
"Barreto, José María",1,131,0
"Barriga Paez, J.",1,92,0
"Barzini, Luigi",1,130,0
"Bayona Posada, Jorge",3,269,0
"Beaunier, André",1,92,0
"Becerra, Ricardo",1,131,0
"Bécquer, Gustavo Adolfo",1,83,0
"Bedout, C. de",1,138,0
"Bel, León",1,31,0
"Bellaigue, Camile",1,131,0
"Bello, Andrés",1,92,0
"Benavente, Jacinto",2,199,0
"Bengoechea, Alfredo de",1,53,0
"Bernal, Luis A.",1,138,0
"Betancourt Villegas, Félix",1,130,0
"Biart, Lucien",1,111,0
"Bilac, Olavo",1,131,0
"Bissière, Roger",1,131,0
"Blaine, James G.",1,111,0
"Blanco Asenjo, Ricardo",1,138,0
"Blanco Fombona, Rufino",3,327,0
"Blanco y Sánchez, Rufino",1,111,0
"Blanco, Héctor",1,138,0
"Blanco, Ignacio",1,63,0
"Blasco Ibáñez, Vicente",1,130,0
"Blomberg, Héctor Pedro",1,63,0
"Bloy, León",1,92,0
"Bobadilla, Emilio",1,138,0
"Bocquet, León",1,92,0
"Böhl de Faber y Ruiz de Larrea, Cecilia",1,111,0
"Bohorquez, Daniel",1,36,0
"Bolívar, Simón",1,131,0
"Bonilla, Manuel Antonio",1,130,0
"Bonnard, Abel",1,131,0
"Botero Guerra, Camilo",2,233,0
"Botero Saldarriaga, Roberto",1,63,0
"Botero, Emiro",1,63,0
"Bouret, Alonso",1,138,0
"Bourget, Paul",1,138,0
"Breen, M.",1,138,0
"Briand, Monsieur",1,92,0
"Briceño, Manuel",2,153,0
"Brisay, Henry de",1,131,0
"Brooks, Adam",1,130,0
"Bueno, Manuel",1,53,0
"Bunster, Cesar",1,63,0
"Burns, Robert",1,111,0
"Cabello de Carbonera, Mercedes",1,111,0
"Cadenas, José Juan",1,138,0
"Caicedo Rojas, José",2,228,0
"Calcaño, José A.",1,111,0
"Calcaño, Julio",1,111,0
"Calderón, Luis Eduardo",1,79,0
"Camacho Ramírez, Arturo",1,14,0
"Camacho Roldán, Salvador",2,228,0
"Campo, Carlos Del",1,31,0
"Campoamor, Ramón de",1,111,0
"Cañas, Juan José",1,131,0
"Cano Gutíérrez, Fidel",3,256,0
"Cano Torres, Antonio José",3,233,0
"Cano Villegas, Gabriel",1,130,0
"Cano, Antonio José",2,213,0
"Cano, Luis",2,233,0
"Cantillo, Liborio D.",1,79,0
"Capuana, Luigi",1,111,0
"Carbonell, Gonzalo",1,79,0
"Carducci, Giosuè",3,304,0
"Caro, José Eusebio",1,111,0
"Caro, Miguel Antonio",2,228,0
"Carranza Fernández, Eduardo",1,14,0
"Carrasquilla L., Juan de Dios",2,167,0
"Carrasquilla, Ricardo",1,111,0
"Carrasquilla, Tomás",3,287,14107
"Carreño, Pedro M.",1,131,0
"Carrere, Emilio",1,131,0
"Carricarte, Arturo R. de",1,130,0
